lat,lon,heading
48.21389831,20.7401066,353.5390839
48.21391054,20.74010739,352.4589273
48.21392247,20.7401072,352.5178401
48.21393433,20.74010732,354.6833868
48.21394654,20.74010864,356.741987
48.21395914,20.74011061,357.7886157
48.2139717,20.74011315,358.1393297
48.21398433,20.74011563,357.4179785
48.21399719,20.74011759,356.3814018
48.21401021,20.74011909,355.3711493
48.21402332,20.74012059,355.1149271
48.21403665,20.7401217,354.1307717
48.21405043,20.74012215,353.4533397
48.21406409,20.7401225,353.7591173
48.21407793,20.74012305,353.8412653
48.214093,20.74012304,352.177601
48.21410833,20.74012207,351.5922636
48.21412347,20.7401214,352.1151221
48.21413849,20.74012087,351.7033319
48.21415427,20.74011975,350.1209248
48.21416892,20.7401182,349.3963782
48.2141838,20.74011688,349.5751509
48.21419865,20.74011494,348.7767159
48.21421362,20.740112,347.7870129
48.21422843,20.74010868,347.4209885
48.21424289,20.74010525,347.4700451
48.21425703,20.74010178,348.1465015
48.21427097,20.74009875,349.2834183
48.21428499,20.74009667,350.4164893
48.21429936,20.74009496,349.8787065
48.21431358,20.7400936,349.43056
48.2143277,20.74009176,347.9588763
48.21434181,20.74008912,347.3727107
48.2143565,20.74008612,347.3163336
48.21437112,20.74008281,347.7434828
48.21438573,20.74008021,348.4583753
48.21440068,20.74007714,347.9317772
48.21441572,20.74007434,348.7874219
48.21443057,20.74007227,349.7361585
48.21444544,20.74006979,349.1152316
48.2144601,20.74006741,349.6595565
48.21447496,20.74006522,350.3266025
48.21448995,20.74006366,350.6868893
48.21450499,20.74006247,349.8972048
48.21451994,20.74006086,349.0989037
48.21453475,20.74005973,350.2555953
48.21454979,20.74005907,350.3546132
48.21456495,20.7400579,348.8256187
48.21457974,20.74005646,348.4837795
48.21459432,20.74005417,347.7298946
48.21460906,20.74005032,346.5024677
48.2146231,20.74004624,346.8184016
48.21463767,20.74004268,347.5732595
48.21465226,20.74003978,348.3798542
48.21466693,20.7400376,348.5629146
48.21468182,20.74003598,349.0842495
48.21469651,20.74003513,349.596682
48.21471129,20.74003383,347.9547051
48.21472672,20.74003152,346.9753874
48.21474157,20.74002909,346.5998516
48.21476775,20.74002558,347.3568676
48.21477297,20.74002507,347.3075787
48.21478827,20.74002321,346.697742
48.21480361,20.74002028,344.5141199
48.21481877,20.74001591,342.9165446
48.21483393,20.74001132,342.9051749
48.21484922,20.74000647,342.5872696
48.21486439,20.74000105,341.4848595
48.21487931,20.73999499,341.281254
48.21489413,20.73998935,343.1149056
48.21490914,20.73998446,344.2196587
48.214924,20.73998096,345.0962206
48.21493896,20.73997829,344.5803903
48.21495387,20.73997544,343.7813725
48.21496872,20.73997196,343.4398741
48.2149839,20.739968,343.8615903
48.21499967,20.73996448,344.8738516
48.21501502,20.73996141,343.9274932
48.2150305,20.73995726,341.8230177
48.21504585,20.73995168,339.8458049
48.21506037,20.73994475,338.3592139
48.21507462,20.73993737,338.3703994
48.21508883,20.73992998,338.4719997
48.21510276,20.73992276,338.6477868
48.21511676,20.73991625,338.450259
48.21513056,20.73990962,338.9608682
48.21514454,20.73990434,341.4180049
48.21515887,20.7398994,342.2658098
48.21517353,20.73989441,341.6527235
48.21518817,20.73988946,341.5101003
48.21520279,20.73988521,342.1101778
48.21521761,20.7398815,341.7288011
48.2152325,20.73987735,339.2902917
48.21524702,20.73987153,336.5083177
48.21526102,20.73986491,336.2206076
48.21527512,20.73985809,335.6826154
48.21528934,20.73985036,334.4920075
48.21530355,20.73984231,334.994306
48.21531804,20.73983484,337.2585906
48.21533233,20.73982876,339.5504822
48.21534716,20.73982433,341.4569972
48.21536221,20.73982074,340.9005535
48.21537742,20.73981673,338.9000459
48.21539225,20.73981219,337.3163819
48.21540725,20.7398065,335.5888855
48.21542217,20.73979952,334.0442878
48.21543681,20.73979195,333.4652822
48.21545146,20.73978413,333.3247293
48.21546617,20.73977647,333.5728014
48.21548097,20.73976894,333.6630914
48.21549597,20.73976104,332.9818197
48.2155109,20.73975242,333.6269951
48.21552612,20.73974485,335.7645527
48.21554196,20.73973842,336.6848026
48.21555824,20.73973259,335.1731232
48.21557444,20.73972595,332.9351493
48.21558962,20.73971927,332.0511569
48.21560517,20.73971195,330.7413655
48.21562043,20.73970264,327.7089502
48.21563511,20.73969211,326.3561412
48.21564964,20.73968068,326.4641641
48.21566057,20.73967246,327.7589432
